#At time x process y (Status)
 At time 1 process 1 started
 At time 23 process 1 finished
 At time 23 process 3 started
 At time 25 process 3 finished
 At time 25 process 6 started
 At time 27 process 6 finished
 At time 27 process 5 started
 At time 32 process 5 finished
 At time 32 process 7 started
 At time 39 process 7 finished
 At time 39 process 9 started
 At time 48 process 9 finished
 At time 48 process 10 started
 At time 50 process 10 finished
 At time 50 process 2 started
 At time 60 process 2 finished
 At time 60 process 4 started
 At time 81 process 4 finished
 At time 81 process 8 started
 At time 104 process 8 finished
